ID;Name;Parent;ParentID;project_feature;Note;;
1_5;DevOps Management;CLI;5;;;;
2_6;Generic Ex UI;Components;6;;;;
3_6;CDC;Components;6;;;;
4_15;Native Datatypes;Storage;15;;Unlike Storage, this belongs to Zuzana;;
5_20;Activity Center;Telemetry;20;;;;
;;;;;;;
;;;;;;;
;;;;;;;
9_6;Developer Portal;Components;6;;;;
10_2;AI Automation Studio;AI;2;;;;
11_2;AI SQL Transformation;AI;2;ai-conversations;;;
12_2;AI Error Explanation;AI;2;;;;
13_6;Custom Python;Components;6;;;;
14_2;MCP Server;AI;2;;standalone package;;
15_2;AI Descriptions;AI;2;;;;
16_1;Authentification;Admin;1;;;;
17_2;KAI Assistant;AI;2;;;;
18_2;RO Chat;AI;2;;;;
